val_loss,epoch,step,train_loss,learning_rate
1.231573462486267,0,1,,
,0,1,1.216536045074463,9.999999747378752e-05
1.2282896041870117,1,3,,
,1,3,1.2133638858795166,9.999999747378752e-05
